material,cfg_file_original,cfg_file_mapped,cfg_path_original,cfg_path_mapped,T_cfg,Tmin_logtau,Tmax_logtau,logtau,logtau_source,relax_file,mapped_file_exists,atom_cache_path
Zr46Cu46Al8,dumpZrCuAl.cooldown_638.cfg,Zr46Cu46Al8_638.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_638.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_638.0K.cfg,638.0,635.36667,1002.03333,15.722425655768692,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0000.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_661.cfg,Zr46Cu46Al8_661.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_661.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_661.0K.cfg,661.0,635.36667,1002.03333,10.618193962475848,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0001.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_673.cfg,Zr46Cu46Al8_673.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_673.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_673.0K.cfg,673.0,635.36667,1002.03333,8.450109347681307,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0002.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_678.cfg,Zr46Cu46Al8_678.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_678.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_678.0K.cfg,678.0,635.36667,1002.03333,7.564628756022491,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0003.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_680.cfg,Zr46Cu46Al8_680.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_680.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_680.0K.cfg,680.0,635.36667,1002.03333,7.218741447797106,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0004.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_682.cfg,Zr46Cu46Al8_682.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_682.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_682.0K.cfg,682.0,635.36667,1002.03333,6.877739855639419,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0005.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_707.cfg,Zr46Cu46Al8_707.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_707.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_707.0K.cfg,707.0,635.36667,1002.03333,3.164955372241486,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0006.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_727.cfg,Zr46Cu46Al8_727.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_727.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_727.0K.cfg,727.0,635.36667,1002.03333,0.7255564383857511,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0007.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_728.cfg,Zr46Cu46Al8_728.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_728.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_728.0K.cfg,728.0,635.36667,1002.03333,0.6140432439535141,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0008.npy
Zr46Cu46Al8,dumpZrCuAl.cooldown_741.cfg,Zr46Cu46Al8_741.0K.cfg,C:\Users\Admin\Downloads\cfg data\cfg_files_Zr46Cu46Al8\dumpZrCuAl.cooldown_741.cfg,C:\Users\Admin\Downloads\cfg data\mapped_cfg_and_metadata\mapped_cfg_Zr46Cu46Al8\Zr46Cu46Al8_741.0K.cfg,741.0,635.36667,1002.03333,-0.7580361200844812,interpolated,C:\Users\Admin\Downloads\cfg data\relaxation_time_zr46cu46al8_Tg_716.2K.csv,True,C:\Users\Admin\Downloads\cfg data\nn_output\atom_cache\sample_0009.npy
